Magnitude,Depth_km,Duration_sec,Building_Age,Building_Material,Floors,Soil_Type,Damage_Index,Damage_Category
4.65,252.96,118.3,53,Brick,9,Soft Soil,0.651,Heavy
4.21,277.91,74.79,43,Wood,38,Hard Soil,0.454,Moderate to Heavy
5.51,228.78,34.85,96,Brick,15,Soft Soil,0.61,Heavy
5.44,189.76,98.23,1,Wood,18,Rock,0.473,Moderate to Heavy
4.86,61.41,114.18,34,Brick,7,Rock,0.481,Moderate to Heavy
7.63,129.82,80.87,2,Brick,1,Soft Soil,0.67,Very Heavy
6.79,131.95,109.17,8,Brick,36,Rock,0.601,Heavy
5.63,228.71,88.89,70,Brick,33,Rock,0.566,Heavy
6.24,96.91,118.92,35,Steel,45,Rock,0.635,Heavy
5.63,217.53,108.18,84,Wood,12,Soft Soil,0.72,Very Heavy
8.35,121.75,75.34,98,Steel,11,Rock,0.663,Heavy
6.76,178.39,28.94,80,Brick,4,Soft Soil,0.624,Heavy
6.63,87.16,103.05,92,Wood,30,Soft Soil,0.805,Severe
5.69,233.55,95.64,12,Concrete,4,Soft Soil,0.614,Heavy
5.38,24.51,105.54,90,Wood,22,Soft Soil,0.729,Very Heavy
4.52,58.12,19.92,18,Steel,28,Soft Soil,0.483,Moderate to Heavy
7.13,119.92,8.68,34,Wood,23,Hard Soil,0.451,Moderate to Heavy
6.91,168.96,78.22,85,Steel,12,Soft Soil,0.735,Very Heavy
4.4,86.65,30.19,45,Concrete,3,Rock,0.321,Light
6.79,159.51,113.38,73,Steel,16,Hard Soil,0.633,Heavy
8.2,8.55,15.77,71,Steel,37,Hard Soil,0.581,Heavy
4.95,44.15,69.62,1,Brick,17,Hard Soil,0.399,Moderate
6.06,239.55,24.47,54,Brick,5,Hard Soil,0.408,Moderate
7.27,17.53,110.32,44,Brick,22,Rock,0.635,Heavy
7.37,252.86,29.37,95,Steel,23,Rock,0.558,Heavy
5.33,140.45,81.11,8,Concrete,9,Rock,0.428,Moderate
7.76,136.49,49,92,Wood,12,Hard Soil,0.586,Heavy
8.06,16.36,83.26,27,Concrete,25,Hard Soil,0.619,Heavy
5,71.1,42.81,57,Brick,43,Rock,0.464,Moderate to Heavy
6.73,189.34,97.46,28,Brick,39,Soft Soil,0.755,Very Heavy
7.62,214.62,42.72,98,Concrete,43,Rock,0.636,Heavy
7.01,21.21,44.14,39,Wood,21,Rock,0.505,Moderate to Heavy
5.53,217.87,27.64,76,Concrete,48,Hard Soil,0.495,Moderate to Heavy
4.24,97.24,108.66,29,Wood,14,Hard Soil,0.45,Moderate to Heavy
5.77,265.41,71.13,11,Brick,2,Hard Soil,0.422,Moderate
5.49,66.03,113.45,25,Steel,4,Hard Soil,0.497,Moderate to Heavy
5.47,163.44,100.93,53,Wood,20,Hard Soil,0.535,Moderate to Heavy
7.88,104.57,74.89,37,Steel,46,Soft Soil,0.798,Severe
5.72,19.45,100.53,9,Steel,41,Rock,0.545,Moderate to Heavy
7.38,187.94,84.44,75,Brick,40,Rock,0.665,Heavy
7.62,179.29,114.45,29,Wood,48,Hard Soil,0.697,Very Heavy
4.27,230.55,32.01,12,Brick,28,Hard Soil,0.335,Moderate
4.49,6.07,52.34,15,Wood,27,Soft Soil,0.531,Moderate to Heavy
7.76,132.83,42.5,29,Brick,20,Hard Soil,0.528,Moderate to Heavy
8.19,290.69,93.63,37,Brick,2,Hard Soil,0.607,Heavy
6.14,56.45,33.02,83,Concrete,10,Soft Soil,0.615,Heavy
4.49,238.54,44.67,20,Wood,34,Rock,0.387,Moderate
7.58,202.7,87.54,51,Wood,33,Hard Soil,0.642,Heavy
7.25,134.96,54.07,13,Steel,17,Hard Soil,0.5,Moderate to Heavy
4.38,169.39,101.86,59,Wood,11,Rock,0.47,Moderate to Heavy
6.68,166.6,6.19,31,Concrete,39,Soft Soil,0.603,Heavy
5.08,271.84,44.19,69,Wood,23,Soft Soil,0.593,Heavy
5.36,246.22,28.98,71,Brick,9,Rock,0.405,Moderate
6.97,118.09,118.27,38,Concrete,37,Hard Soil,0.658,Heavy
6.18,158.73,82,28,Wood,20,Rock,0.514,Moderate to Heavy
8.23,136.36,73.95,81,Brick,40,Rock,0.696,Very Heavy
4.21,275.44,50.57,46,Wood,25,Soft Soil,0.541,Moderate to Heavy
6.71,229.14,87.21,69,Brick,3,Hard Soil,0.556,Heavy
7.66,257.04,17.3,91,Concrete,11,Rock,0.525,Moderate to Heavy
7.26,190.95,36.07,30,Concrete,8,Rock,0.469,Moderate to Heavy
8.44,34.55,11.75,28,Concrete,15,Rock,0.5,Moderate to Heavy
6.72,161.49,53.54,76,Brick,9,Rock,0.519,Moderate to Heavy
4.35,58.17,115.31,25,Wood,18,Hard Soil,0.471,Moderate to Heavy
4.98,270.87,60.64,24,Wood,40,Hard Soil,0.454,Moderate to Heavy
4.43,192.67,61.76,66,Concrete,40,Soft Soil,0.62,Heavy
6.62,297.71,57.65,91,Brick,48,Soft Soil,0.764,Very Heavy
7.92,197.46,43.55,52,Brick,13,Hard Soil,0.547,Moderate to Heavy
4.79,64.41,118.9,49,Concrete,19,Soft Soil,0.675,Very Heavy
5.41,43.46,53.28,6,Wood,6,Soft Soil,0.527,Moderate to Heavy
7.63,143.95,45.38,46,Brick,33,Rock,0.569,Heavy
8.04,51.83,73.3,74,Concrete,21,Soft Soil,0.79,Severe
5.83,273.06,80.18,8,Wood,15,Hard Soil,0.463,Moderate to Heavy
6.26,39.81,81.86,52,Steel,30,Soft Soil,0.711,Very Heavy
6.12,25.95,54.34,36,Steel,5,Hard Soil,0.443,Moderate
6.02,234.03,106.27,15,Steel,12,Soft Soil,0.667,Very Heavy
4.44,138.84,53.49,8,Concrete,4,Hard Soil,0.327,Light
4.05,288.2,71.14,18,Brick,19,Soft Soil,0.527,Moderate to Heavy
4.5,297.69,25.01,80,Brick,46,Hard Soil,0.439,Moderate
6.71,267.66,109.17,68,Wood,11,Hard Soil,0.607,Heavy
7.03,62.55,85.32,93,Steel,11,Rock,0.609,Heavy
6.26,11.07,76.78,66,Concrete,7,Rock,0.521,Moderate to Heavy
5.86,138.46,87.28,2,Wood,26,Hard Soil,0.492,Moderate to Heavy
6.43,21.1,55.2,25,Concrete,6,Soft Soil,0.601,Heavy
5.38,96.39,40.66,84,Concrete,17,Rock,0.455,Moderate to Heavy
7.68,166.84,75.44,85,Concrete,49,Rock,0.693,Very Heavy
6.38,39.33,68.98,7,Brick,49,Soft Soil,0.689,Very Heavy
6.94,61.65,60.63,86,Brick,15,Soft Soil,0.714,Very Heavy
7.44,238.05,37.13,63,Steel,6,Rock,0.509,Moderate to Heavy
7.15,202.83,82.86,32,Steel,13,Rock,0.554,Moderate to Heavy
4.27,140.11,118.22,54,Steel,9,Soft Soil,0.633,Heavy
5.83,256.87,74.52,23,Brick,11,Rock,0.461,Moderate to Heavy
6.93,165.69,119.73,33,Brick,14,Hard Soil,0.607,Heavy
7.42,77.76,40.32,95,Brick,32,Soft Soil,0.747,Very Heavy
5.16,131.85,61.99,90,Brick,34,Hard Soil,0.519,Moderate to Heavy
4.6,266.72,27.02,32,Brick,49,Soft Soil,0.555,Moderate to Heavy
8.32,14.52,38.71,46,Brick,34,Soft Soil,0.745,Very Heavy
4.85,253.43,77.87,40,Steel,31,Soft Soil,0.624,Heavy
5.37,19.07,48.65,98,Wood,30,Hard Soil,0.508,Moderate to Heavy
4.17,190.53,81.85,59,Steel,31,Soft Soil,0.616,Heavy
6.13,83.23,15.16,92,Wood,49,Hard Soil,0.522,Moderate to Heavy
8.33,138.39,68.88,91,Wood,31,Hard Soil,0.684,Very Heavy
7.71,206.67,95.48,69,Concrete,14,Rock,0.642,Heavy
4.02,238.62,24.68,39,Wood,3,Hard Soil,0.287,Light
8.07,196.65,11.46,43,Wood,10,Soft Soil,0.636,Heavy
7.42,259.45,79.66,82,Steel,4,Hard Soil,0.594,Heavy
4.9,280.68,84.47,75,Steel,29,Hard Soil,0.519,Moderate to Heavy
8.36,279.97,18.6,5,Concrete,35,Rock,0.524,Moderate to Heavy
7.42,295.18,77.42,70,Wood,38,Rock,0.646,Heavy
5.52,31.59,24.25,44,Brick,48,Rock,0.456,Moderate to Heavy
4.51,275.69,113.15,21,Concrete,9,Rock,0.453,Moderate to Heavy
8.32,166.9,97.15,77,Concrete,38,Hard Soil,0.731,Very Heavy
6.69,26.61,109.07,62,Brick,32,Hard Soil,0.642,Heavy
7.25,73.86,62.61,43,Wood,15,Rock,0.54,Moderate to Heavy
4.88,216.12,103.26,24,Concrete,23,Hard Soil,0.486,Moderate to Heavy
6.31,244.5,7.99,66,Steel,48,Hard Soil,0.491,Moderate to Heavy
4.41,113.68,35.9,92,Brick,37,Hard Soil,0.446,Moderate to Heavy
7.55,19.44,33.35,54,Steel,29,Rock,0.545,Moderate to Heavy
7.31,240.26,48.68,64,Brick,24,Rock,0.559,Heavy
4.04,65.81,17.18,55,Steel,11,Soft Soil,0.458,Moderate to Heavy
8.45,262.03,19.76,22,Wood,5,Rock,0.487,Moderate to Heavy
8.19,253.73,74.33,51,Brick,41,Rock,0.666,Heavy
4.24,277,15.9,39,Brick,26,Hard Soil,0.33,Light
6.04,168.02,76.57,21,Wood,28,Rock,0.507,Moderate to Heavy
4.37,258.08,65.42,24,Steel,31,Rock,0.414,Moderate
4.35,233.11,42.97,5,Concrete,16,Soft Soil,0.476,Moderate to Heavy
5.73,77.2,5.02,14,Steel,21,Hard Soil,0.351,Moderate
5.49,162.45,107.03,71,Concrete,28,Rock,0.58,Heavy
6.28,94.15,19.29,92,Brick,11,Rock,0.46,Moderate to Heavy
7.03,253.69,43.25,74,Concrete,25,Hard Soil,0.548,Moderate to Heavy
7.5,36.34,47.23,80,Brick,29,Rock,0.592,Heavy
4.21,243.13,72.86,46,Steel,43,Soft Soil,0.614,Heavy
7.07,147.09,7.26,23,Wood,10,Hard Soil,0.409,Moderate
5.77,14,13.37,64,Steel,42,Soft Soil,0.609,Heavy
7.11,34.37,101.46,91,Concrete,25,Soft Soil,0.816,Severe
7.71,139.5,78.55,41,Steel,41,Soft Soil,0.789,Severe
5.93,78.62,61.44,50,Concrete,11,Soft Soil,0.621,Heavy
5.19,289.62,40.92,16,Brick,45,Soft Soil,0.584,Heavy
4.89,158.54,117.32,7,Concrete,46,Hard Soil,0.539,Moderate to Heavy
5.21,55.89,6.38,54,Wood,27,Rock,0.379,Moderate
4.43,116.06,29.4,54,Steel,40,Rock,0.404,Moderate
5.15,147.17,86.8,58,Wood,37,Soft Soil,0.684,Very Heavy
8.29,136.92,119.6,49,Wood,20,Hard Soil,0.703,Very Heavy
6.62,265.75,55.49,3,Steel,21,Hard Soil,0.468,Moderate to Heavy
6.65,206.74,112.18,67,Wood,4,Rock,0.594,Heavy
6.62,64.6,36.43,39,Brick,19,Soft Soil,0.619,Heavy
4.99,189.58,41.04,42,Concrete,3,Soft Soil,0.516,Moderate to Heavy
5.23,96.59,6.55,89,Brick,20,Hard Soil,0.401,Moderate
7.96,150.63,100.85,93,Steel,37,Soft Soil,0.883,Severe
4.06,165.03,48.87,9,Brick,36,Hard Soil,0.365,Moderate
7.29,14.79,93.22,13,Brick,19,Hard Soil,0.571,Heavy
4.21,226.69,89.95,53,Concrete,19,Hard Soil,0.451,Moderate to Heavy
8.14,107.78,52.15,38,Brick,25,Rock,0.582,Heavy
5.64,12.23,53.6,3,Steel,10,Rock,0.394,Moderate
6.12,249.16,116.17,88,Brick,42,Rock,0.672,Very Heavy
4.45,230.08,64.35,68,Brick,6,Rock,0.41,Moderate
6.55,135.45,32.6,85,Brick,1,Soft Soil,0.619,Heavy
6.4,283.3,113.06,38,Brick,14,Hard Soil,0.574,Heavy
4.47,82.27,103.12,64,Concrete,21,Soft Soil,0.651,Heavy
7.05,249.47,57.92,82,Brick,32,Soft Soil,0.745,Very Heavy
4.82,10.46,75.93,11,Brick,28,Hard Soil,0.435,Moderate
5.83,27.88,89.32,53,Concrete,16,Hard Soil,0.525,Moderate to Heavy
7.44,243.43,25.78,12,Concrete,36,Rock,0.499,Moderate to Heavy
6.61,149.65,70.78,69,Wood,1,Soft Soil,0.669,Very Heavy
4.95,240.35,82.76,77,Concrete,13,Soft Soil,0.638,Heavy
5.43,123.8,13.41,29,Brick,38,Hard Soil,0.399,Moderate
5.22,286.5,16.65,78,Wood,1,Hard Soil,0.369,Moderate
6.9,51.35,95.46,18,Steel,43,Rock,0.608,Heavy
4.65,101.5,70.37,81,Brick,19,Soft Soil,0.619,Heavy
6.39,61.77,87.92,47,Concrete,29,Hard Soil,0.571,Heavy
7.85,177.55,36.59,39,Steel,36,Rock,0.564,Heavy
8.21,54.45,38.67,47,Concrete,44,Rock,0.61,Heavy
7.43,245.28,116.02,13,Concrete,15,Soft Soil,0.758,Very Heavy
6.63,127.69,28.7,75,Brick,9,Hard Soil,0.472,Moderate to Heavy
8.27,181.26,5.11,35,Concrete,7,Hard Soil,0.471,Moderate to Heavy
5.06,38.81,5.41,36,Wood,31,Soft Soil,0.51,Moderate to Heavy
4.42,296.8,76.04,80,Concrete,3,Hard Soil,0.434,Moderate
6.72,40.58,87.14,28,Concrete,6,Rock,0.521,Moderate to Heavy
6.61,103.82,111.11,62,Concrete,16,Hard Soil,0.61,Heavy
7.23,94.45,42.87,5,Concrete,42,Rock,0.522,Moderate to Heavy
4.67,232.4,44.21,19,Wood,35,Rock,0.396,Moderate
7.89,292.34,27.1,89,Wood,6,Hard Soil,0.541,Moderate to Heavy
4.67,192.09,15.74,26,Wood,14,Soft Soil,0.464,Moderate to Heavy
5.92,253.74,89.99,68,Concrete,11,Rock,0.536,Moderate to Heavy
6.63,42.15,35.35,85,Wood,41,Hard Soil,0.557,Heavy
5.27,78.5,7.77,6,Brick,4,Hard Soil,0.29,Light
5.16,197.45,109.5,21,Wood,8,Hard Soil,0.478,Moderate to Heavy
5.63,247.72,99.51,87,Concrete,37,Soft Soil,0.758,Very Heavy
4.61,83.35,8.87,62,Steel,28,Soft Soil,0.513,Moderate to Heavy
5.62,223.12,57.58,7,Steel,48,Rock,0.48,Moderate to Heavy
7.81,248.2,15.36,22,Wood,28,Hard Soil,0.494,Moderate to Heavy
7.66,125.94,109.02,27,Brick,29,Soft Soil,0.8,Severe
5.03,100.97,53.09,80,Wood,17,Rock,0.454,Moderate to Heavy
4.29,42.75,34.21,56,Concrete,42,Rock,0.412,Moderate
5.16,115.73,43.63,51,Wood,31,Soft Soil,0.594,Heavy
4.74,126.9,75.73,40,Steel,46,Hard Soil,0.495,Moderate to Heavy
6.11,58.17,9.93,68,Wood,13,Rock,0.416,Moderate
4.44,19.97,74.69,4,Wood,40,Rock,0.43,Moderate
5.29,234.46,30.46,36,Wood,24,Hard Soil,0.399,Moderate
7.38,89.41,107.16,7,Concrete,4,Hard Soil,0.563,Heavy
7.53,44.41,76.06,20,Concrete,8,Rock,0.539,Moderate to Heavy
7.84,215.79,87.23,68,Brick,6,Rock,0.617,Heavy
4.13,271.64,50.53,57,Brick,18,Soft Soil,0.534,Moderate to Heavy
6.9,215.49,16.39,39,Concrete,48,Hard Soil,0.507,Moderate to Heavy
8.47,40,12.04,76,Wood,49,Soft Soil,0.768,Very Heavy
7.86,264.02,9.6,83,Brick,8,Hard Soil,0.508,Moderate to Heavy
4.64,184.07,35.36,17,Brick,9,Rock,0.326,Light
8.19,167.96,88.98,36,Brick,31,Hard Soil,0.656,Heavy
5.55,269.22,75.21,34,Wood,37,Rock,0.511,Moderate to Heavy
4.1,268.73,61.83,37,Wood,31,Hard Soil,0.407,Moderate
6.41,114.39,51.13,82,Brick,35,Hard Soil,0.558,Heavy
6.61,236.22,17.52,46,Steel,49,Soft Soil,0.654,Heavy
6.9,168.24,95.5,79,Brick,30,Hard Soil,0.643,Heavy
5.86,284.74,76.99,96,Concrete,6,Hard Soil,0.529,Moderate to Heavy
6.11,270.02,10.91,35,Steel,31,Rock,0.421,Moderate
8.32,91.41,57.34,90,Wood,28,Hard Soil,0.658,Heavy
4.74,5.08,28.17,56,Wood,3,Hard Soil,0.346,Moderate
8.24,20.91,101.67,19,Brick,29,Hard Soil,0.658,Heavy
6.96,43.42,112.23,80,Steel,31,Rock,0.677,Very Heavy
7.8,115.63,102.03,27,Concrete,43,Hard Soil,0.673,Very Heavy
7.93,271.85,83.97,25,Wood,20,Soft Soil,0.751,Very Heavy
6.26,20.87,38.85,48,Steel,28,Rock,0.482,Moderate to Heavy
4.96,125.52,102.06,54,Steel,15,Rock,0.502,Moderate to Heavy
8.06,299.25,36.59,37,Wood,3,Soft Soil,0.657,Heavy
8.46,274.14,72.68,14,Brick,48,Rock,0.654,Heavy
7.64,77.65,102.58,82,Concrete,2,Hard Soil,0.639,Heavy
6.98,98.63,103.57,21,Wood,24,Soft Soil,0.741,Very Heavy
5.29,19.27,74.89,6,Wood,39,Soft Soil,0.623,Heavy
5.83,264.45,78.47,61,Steel,13,Hard Soil,0.509,Moderate to Heavy
7.6,26.41,13.51,53,Wood,16,Rock,0.488,Moderate to Heavy
5.79,71.26,24.3,34,Steel,28,Hard Soil,0.42,Moderate
7.71,239.8,32,84,Wood,39,Rock,0.601,Heavy
4.37,19.41,7.03,51,Concrete,45,Soft Soil,0.521,Moderate to Heavy
6.74,178.19,103,60,Steel,35,Hard Soil,0.639,Heavy
7.22,74.13,25.28,43,Concrete,44,Hard Soil,0.534,Moderate to Heavy
5.17,30.75,36.6,66,Steel,37,Soft Soil,0.61,Heavy
7.45,116.46,104.3,56,Steel,10,Hard Soil,0.622,Heavy
4.42,24.75,30.52,75,Brick,1,Soft Soil,0.499,Moderate to Heavy
5.64,143.06,88.79,85,Wood,28,Soft Soil,0.721,Very Heavy
7.85,6.74,118.36,37,Steel,6,Hard Soil,0.639,Heavy
5.83,154.66,48.96,82,Wood,9,Hard Soil,0.473,Moderate to Heavy
5.49,109.23,77.98,56,Steel,6,Hard Soil,0.472,Moderate to Heavy
4.89,130.07,54.79,47,Concrete,44,Rock,0.471,Moderate to Heavy
6.68,75.59,51.77,88,Brick,47,Rock,0.602,Heavy
5.37,191.6,43.08,59,Brick,42,Rock,0.483,Moderate to Heavy
6.61,251.54,33.75,76,Steel,1,Rock,0.465,Moderate to Heavy
6.41,167.16,17.02,70,Steel,5,Hard Soil,0.429,Moderate
5.39,145.27,50,3,Brick,31,Rock,0.418,Moderate
5.01,13.06,26.56,49,Wood,48,Rock,0.44,Moderate
6.89,38.17,115.48,37,Brick,49,Hard Soil,0.672,Very Heavy
7.4,276.3,100.69,8,Steel,4,Rock,0.554,Moderate to Heavy
7.53,123.64,58.93,92,Steel,43,Hard Soil,0.653,Heavy
8.38,99.35,72.31,15,Wood,49,Rock,0.653,Heavy
5.66,142.83,86.65,27,Wood,21,Rock,0.496,Moderate to Heavy
4.81,7.56,68.49,68,Wood,26,Hard Soil,0.475,Moderate to Heavy
4.64,228.59,30.62,48,Concrete,4,Rock,0.339,Moderate
5.51,191.75,89.61,82,Brick,47,Soft Soil,0.751,Very Heavy
4.12,165.89,72.21,6,Concrete,11,Rock,0.354,Moderate
8.18,199.13,72.31,28,Steel,1,Rock,0.56,Heavy
7.34,294.64,60.32,36,Wood,17,Hard Soil,0.538,Moderate to Heavy
4.66,234.36,96.79,82,Wood,48,Hard Soil,0.572,Heavy
5.95,13.16,7.71,82,Brick,9,Soft Soil,0.56,Heavy
6.51,144.53,39.62,10,Steel,27,Hard Soil,0.456,Moderate to Heavy
6.5,85.12,97.73,92,Steel,28,Rock,0.636,Heavy
7.92,22.97,79.78,86,Brick,41,Hard Soil,0.697,Very Heavy
7.9,230.65,115.43,32,Steel,4,Rock,0.627,Heavy
4.39,254.38,63.86,4,Steel,20,Soft Soil,0.52,Moderate to Heavy
5.04,10.95,34.89,15,Concrete,24,Rock,0.373,Moderate
7.35,177.93,79.74,8,Brick,44,Soft Soil,0.746,Very Heavy
7.96,171.11,77.1,31,Wood,44,Hard Soil,0.645,Heavy
8.16,19.29,87.97,53,Concrete,37,Rock,0.682,Very Heavy
4.51,200.55,15.2,72,Steel,4,Soft Soil,0.481,Moderate to Heavy
7.93,249.07,98.46,1,Brick,9,Rock,0.58,Heavy
5.47,225.55,31.05,96,Wood,10,Rock,0.441,Moderate
7.86,235.1,97.05,19,Steel,41,Hard Soil,0.656,Heavy
4.37,231.2,56.47,7,Concrete,9,Rock,0.338,Moderate
4.14,12.31,78.75,35,Concrete,14,Rock,0.401,Moderate
7.5,268.55,12.2,53,Concrete,31,Hard Soil,0.51,Moderate to Heavy
4.06,88.03,47.4,23,Steel,48,Hard Soil,0.401,Moderate
6.66,212.26,18.26,27,Concrete,6,Rock,0.402,Moderate
7.96,267.61,26.46,47,Wood,45,Rock,0.579,Heavy
7.9,12.34,40.7,96,Concrete,9,Soft Soil,0.727,Very Heavy
7.36,51.19,76.88,43,Concrete,45,Rock,0.629,Heavy
8.39,148.08,106.51,94,Steel,1,Hard Soil,0.693,Very Heavy
5.37,216.25,30.02,48,Concrete,41,Hard Soil,0.449,Moderate to Heavy
6.74,124.1,109.61,73,Wood,14,Rock,0.621,Heavy
5.75,124.17,31.55,35,Brick,5,Rock,0.385,Moderate
5.97,256.25,7.33,35,Steel,31,Hard Soil,0.408,Moderate
6.74,236.61,94.54,73,Brick,2,Hard Soil,0.572,Heavy
4.01,149.92,78.52,97,Wood,25,Soft Soil,0.628,Heavy
4.95,293.88,85.17,14,Wood,35,Rock,0.473,Moderate to Heavy
4.85,90.77,39.04,39,Concrete,14,Soft Soil,0.525,Moderate to Heavy
5.66,212.23,27.71,33,Brick,16,Soft Soil,0.544,Moderate to Heavy
5.66,84,52.25,83,Steel,12,Soft Soil,0.627,Heavy
4.33,14.14,38.15,11,Wood,1,Hard Soil,0.293,Light
7.61,84.32,57.47,9,Wood,26,Rock,0.537,Moderate to Heavy
7.34,26.4,38.67,88,Steel,38,Hard Soil,0.595,Heavy
7.23,71.31,17.21,87,Concrete,4,Soft Soil,0.635,Heavy
7.04,93.31,82.94,74,Concrete,7,Hard Soil,0.578,Heavy
7.93,64.01,56.69,99,Brick,16,Rock,0.622,Heavy
5.23,295.55,91.8,18,Wood,29,Hard Soil,0.491,Moderate to Heavy
8.15,266.33,14.54,18,Wood,48,Hard Soil,0.546,Moderate to Heavy
4.83,137.47,115.63,9,Concrete,12,Hard Soil,0.467,Moderate to Heavy
7.63,172.71,114.73,71,Steel,49,Soft Soil,0.892,Destructive
4.17,285.96,96.52,75,Steel,1,Rock,0.446,Moderate to Heavy
5.71,62.73,114.79,97,Brick,38,Soft Soil,0.8,Severe
7.53,142.93,62.74,14,Wood,30,Rock,0.555,Moderate to Heavy
6.56,198.43,94.95,97,Steel,7,Soft Soil,0.747,Very Heavy
6.96,46.97,112.88,64,Concrete,22,Soft Soil,0.794,Severe
5.92,273.04,29.6,13,Steel,36,Hard Soil,0.43,Moderate
5.99,157.25,119.69,38,Steel,42,Rock,0.621,Heavy
8.16,265.43,36.38,43,Steel,34,Rock,0.58,Heavy
4.82,236.05,95.78,43,Wood,15,Rock,0.474,Moderate to Heavy
8.11,129.61,72.41,26,Steel,2,Soft Soil,0.706,Very Heavy
8,25.63,48.71,67,Brick,19,Rock,0.586,Heavy
6.38,68.54,89.2,63,Wood,49,Soft Soil,0.779,Severe
5.22,265.87,38.19,41,Concrete,45,Rock,0.456,Moderate to Heavy
6.27,141.37,93.46,70,Wood,12,Soft Soil,0.713,Very Heavy
7.84,273.88,46.44,77,Steel,36,Hard Soil,0.618,Heavy
5.58,7.75,81.86,24,Steel,37,Soft Soil,0.663,Heavy
4.53,242.91,6.13,62,Wood,21,Rock,0.341,Moderate
7.1,159.95,18.77,31,Brick,18,Rock,0.453,Moderate to Heavy
4.23,23.5,5.34,81,Brick,26,Soft Soil,0.503,Moderate to Heavy
6.03,122.5,76.81,95,Steel,44,Rock,0.613,Heavy
7.07,143.81,39.44,15,Concrete,24,Soft Soil,0.632,Heavy
7.28,64.64,57.91,70,Wood,32,Hard Soil,0.595,Heavy
5.6,264.81,38.13,98,Brick,46,Hard Soil,0.534,Moderate to Heavy
5.17,192.01,83.29,15,Concrete,38,Hard Soil,0.488,Moderate to Heavy
6.37,206.01,14.42,93,Concrete,26,Hard Soil,0.488,Moderate to Heavy
8.14,170.87,50.69,52,Brick,40,Hard Soil,0.623,Heavy
4.59,41.98,59.2,3,Wood,2,Hard Soil,0.335,Moderate
7.3,99.84,38.45,69,Wood,7,Hard Soil,0.512,Moderate to Heavy
5.87,273.68,118.57,33,Brick,2,Rock,0.528,Moderate to Heavy
7.51,60.92,57.5,50,Concrete,45,Rock,0.611,Heavy
6.43,255.03,30.22,10,Brick,17,Hard Soil,0.416,Moderate
7.44,245.71,69.38,38,Steel,26,Soft Soil,0.728,Very Heavy
5.71,293.42,72.49,52,Brick,23,Soft Soil,0.654,Heavy
6.38,18.64,80.98,76,Steel,10,Hard Soil,0.55,Moderate to Heavy
5.72,197.86,54.76,22,Concrete,19,Soft Soil,0.587,Heavy
7.07,20.93,46.53,62,Steel,41,Rock,0.575,Heavy
6.36,83.24,74.11,77,Concrete,38,Soft Soil,0.745,Very Heavy
4.65,81.48,42.9,73,Wood,27,Soft Soil,0.581,Heavy
5.92,235.75,10.31,75,Concrete,15,Rock,0.418,Moderate
4.87,256.63,90.61,17,Concrete,14,Soft Soil,0.59,Heavy
4.74,58.39,31.46,29,Concrete,28,Hard Soil,0.374,Moderate
5.15,278.29,9.85,47,Concrete,30,Rock,0.381,Moderate
5.12,202.34,114.5,50,Brick,45,Soft Soil,0.737,Very Heavy
6.62,268.82,55.6,61,Brick,3,Rock,0.491,Moderate to Heavy
4.34,34.01,26.92,38,Wood,11,Hard Soil,0.322,Light
6.53,150.42,11.91,21,Wood,5,Soft Soil,0.527,Moderate to Heavy
8.25,22.46,64.77,13,Brick,33,Hard Soil,0.599,Heavy
6.19,210.36,46.81,18,Brick,18,Hard Soil,0.442,Moderate
6.8,215.66,107.94,72,Steel,35,Soft Soil,0.812,Severe
6.35,229.01,117.62,91,Steel,8,Soft Soil,0.771,Very Heavy
6.18,62.77,54.34,76,Concrete,24,Rock,0.524,Moderate to Heavy
4.45,169.83,71.75,90,Brick,13,Soft Soil,0.608,Heavy
4.15,169.64,64.55,98,Concrete,5,Soft Soil,0.573,Heavy
5.21,294.84,26.36,2,Wood,43,Rock,0.392,Moderate
5.38,14.93,74.21,80,Wood,24,Hard Soil,0.521,Moderate to Heavy
8.4,73.34,31.81,39,Brick,19,Hard Soil,0.55,Moderate to Heavy
6.46,46.76,48.07,69,Wood,9,Rock,0.49,Moderate to Heavy
7.08,267.13,9.99,64,Brick,20,Hard Soil,0.475,Moderate to Heavy
8.17,12.56,24.25,53,Concrete,44,Rock,0.59,Heavy
7.31,151.67,75.65,51,Concrete,22,Rock,0.587,Heavy
6.75,205.21,93.81,63,Wood,46,Hard Soil,0.649,Heavy
6.09,207.68,61.38,98,Concrete,38,Soft Soil,0.731,Very Heavy
4.1,176,96.86,27,Brick,19,Hard Soil,0.431,Moderate
7.42,276.78,69.84,31,Brick,2,Soft Soil,0.672,Very Heavy
4.63,68.93,84.77,12,Steel,43,Rock,0.471,Moderate to Heavy
5.14,71.54,58.89,41,Concrete,27,Hard Soil,0.45,Moderate to Heavy
6.72,172.56,38.17,82,Wood,49,Hard Soil,0.58,Heavy
4.4,174.8,59.49,25,Wood,5,Rock,0.354,Moderate
4.71,256.47,24.84,54,Steel,32,Rock,0.395,Moderate
5.05,124.52,38.84,79,Steel,27,Soft Soil,0.6,Heavy
6.9,163.75,101.4,84,Brick,38,Rock,0.674,Very Heavy
4.54,55.29,72.27,21,Concrete,13,Hard Soil,0.394,Moderate
8.09,248.93,57.61,3,Steel,41,Rock,0.586,Heavy
